   1	      open	     0	 heartbeat	     0	    closed	     0	    mydist	     0	
   2	      open	     0	 heartbeat	     0	    closed	     0	    mydist	     0	
   3	      open	     0	 heartbeat	     0	    closed	     0	    mydist	     0	
   4	      open	     0	 heartbeat	     0	    closed	     0	    mydist	     0	
   5	      open	     0	 heartbeat	     0	    closed	     0	    mydist	     0	
   6	      open	     0	 heartbeat	     0	    closed	     0	    mydist	     0	
   7	      open	     0	 heartbeat	     0	    closed	     0	    mydist	     0	
   8	      open	     0	 heartbeat	     0	    closed	     0	    mydist	     0	
   9	      open	     0	 heartbeat	     0	    closed	     0	    mydist	     0	
  10	      open	     0	 heartbeat	     0	    closed	     0	    mydist	     0	
  11	      open	     0	 heartbeat	     0	    closed	     0	    mydist	     0	
  12	      open	     0	 heartbeat	    46	    closed	     0	    mydist	   135	
  13	      open	     0	 heartbeat	    46	    closed	     0	    mydist	   448	
  14	      open	     0	 heartbeat	    46	    closed	     0	    mydist	   475	
  15	      open	     0	 heartbeat	    46	    closed	     0	    mydist	   475	
  16	      open	     0	 heartbeat	    46	    closed	     0	    mydist	   475	
  17	      open	     0	 heartbeat	    46	    closed	     0	    mydist	   475	
  18	      open	     0	 heartbeat	    46	    closed	     0	    mydist	   475	
  19	      open	     0	 heartbeat	    46	    closed	     0	    mydist	   475	
  20	      open	     0	 heartbeat	    46	    closed	     0	    mydist	   475	
  21	      open	     0	 heartbeat	    46	    closed	     0	    mydist	   475	
  22	      open	     0	 heartbeat	    92	    closed	     0	    mydist	   475	
  23	      open	     0	 heartbeat	    92	    closed	     0	    mydist	   475	
  24	      open	     0	 heartbeat	    92	    closed	     0	    mydist	   475	
  25	      open	     0	 heartbeat	    92	    closed	     0	    mydist	   475	
  26	      open	     0	 heartbeat	    92	    closed	     0	    mydist	   475	
  27	      open	     0	 heartbeat	    92	    closed	     0	    mydist	   475	
  28	      open	     0	 heartbeat	    92	    closed	     0	    mydist	   475	
  29	      open	     0	 heartbeat	    92	    closed	     0	    mydist	   475	
  30	      open	     0	 heartbeat	    92	    closed	     0	    mydist	   475	
  31	      open	     0	 heartbeat	    92	    closed	     0	    mydist	   475	
  32	      open	     0	 heartbeat	   138	    closed	     0	    mydist	   475	
  33	      open	     0	 heartbeat	   138	    closed	     0	    mydist	   475	
  34	      open	     0	 heartbeat	   138	    closed	     0	    mydist	   475	
  35	      open	     0	 heartbeat	   138	    closed	     0	    mydist	   475	
  36	      open	     0	 heartbeat	   138	    closed	     0	    mydist	   475	
  37	      open	     0	 heartbeat	   138	    closed	     0	    mydist	   475	
  38	      open	     0	 heartbeat	   138	    closed	     0	    mydist	   475	
  39	      open	     0	 heartbeat	   138	    closed	     0	    mydist	   475	
  40	      open	     0	 heartbeat	   138	    closed	     0	    mydist	   475	
  41	      open	     0	 heartbeat	   138	    closed	     0	    mydist	   475	
  42	      open	     0	 heartbeat	   184	    closed	     0	    mydist	   475	
  43	      open	     0	 heartbeat	   184	    closed	     0	    mydist	   475	
  44	      open	     0	 heartbeat	   184	    closed	     0	    mydist	   475	
  45	      open	     0	 heartbeat	   184	    closed	     0	    mydist	   475	
  46	      open	     0	 heartbeat	   184	    closed	     0	    mydist	   475	
  47	      open	     0	 heartbeat	   184	    closed	     0	    mydist	   475	
  48	      open	     0	 heartbeat	   184	    closed	     0	    mydist	   475	
  49	      open	     0	 heartbeat	   184	    closed	     0	    mydist	   475	
  50	      open	     0	 heartbeat	   184	    closed	     0	    mydist	   475	
  51	      open	     0	 heartbeat	   184	    closed	     0	    mydist	   475	
  52	      open	     0	 heartbeat	   230	    closed	     0	    mydist	   475	
  53	      open	     0	 heartbeat	   230	    closed	     0	    mydist	   475	
  54	      open	     0	 heartbeat	   230	    closed	     0	    mydist	   475	
  55	      open	     0	 heartbeat	   230	    closed	     0	    mydist	   475	
  56	      open	     0	 heartbeat	   230	    closed	     0	    mydist	   475	
  57	      open	     0	 heartbeat	   230	    closed	     0	    mydist	   475	
  58	      open	     0	 heartbeat	   230	    closed	     0	    mydist	   475	
  59	      open	     0	 heartbeat	   230	    closed	     0	    mydist	   475	
  60	      open	     0	 heartbeat	   230	    closed	     0	    mydist	   475	
  61	      open	     0	 heartbeat	   236	    closed	     0	    mydist	   475	
  62	      open	     0	 heartbeat	   276	    closed	     0	    mydist	   475	
  63	      open	     0	 heartbeat	   276	    closed	     0	    mydist	   475	
  64	      open	     0	 heartbeat	   276	    closed	     0	    mydist	   475	
  65	      open	     0	 heartbeat	   276	    closed	     0	    mydist	   475	
  66	      open	     0	 heartbeat	   276	    closed	     0	    mydist	   475	
  67	      open	     0	 heartbeat	   276	    closed	     0	    mydist	   475	
  68	      open	     0	 heartbeat	   276	    closed	     0	    mydist	   475	
  69	      open	     0	 heartbeat	   276	    closed	     0	    mydist	   475	
  70	      open	     0	 heartbeat	   276	    closed	     0	    mydist	   475	
  71	      open	     0	 heartbeat	   285	    closed	     0	    mydist	   475	
  72	      open	     0	 heartbeat	   322	    closed	     0	    mydist	   475	
  73	      open	     0	 heartbeat	   322	    closed	     0	    mydist	   475	
  74	      open	     0	 heartbeat	   322	    closed	     0	    mydist	   475	
  75	      open	     0	 heartbeat	   322	    closed	     0	    mydist	   475	
  76	      open	     0	 heartbeat	   322	    closed	     0	    mydist	   475	
  77	      open	     0	 heartbeat	   322	    closed	     0	    mydist	   475	
  78	      open	     0	 heartbeat	   322	    closed	     0	    mydist	   475	
  79	      open	     0	 heartbeat	   322	    closed	     0	    mydist	   475	
  80	      open	     0	 heartbeat	   322	    closed	     0	    mydist	   475	
  81	      open	     0	 heartbeat	   336	    closed	     0	    mydist	   475	
  82	      open	     0	 heartbeat	   368	    closed	     0	    mydist	   475	
  83	      open	     0	 heartbeat	   368	    closed	     0	    mydist	   475	
  84	      open	     0	 heartbeat	   368	    closed	     0	    mydist	   475	
  85	      open	     0	 heartbeat	   368	    closed	     0	    mydist	   475	
